
========================================================================================
Experiment: CartPole-v0_smoke_fix_sd1_20260225_144118
Logged at: 2026-02-25T14:41:31
Config: {"baseline_gradient_steps": 5, "baseline_learning_rate": 0.005, "batch_size": 100, "discount": 1.0, "env_name": "CartPole-v0", "ep_len": null, "eval_batch_size": 400, "exp_name": "smoke_fix", "gae_lambda": null, "layer_size": 64, "learning_rate": 0.005, "n_iter": 1, "n_layers": 2, "no_gpu": true, "normalize_advantages": false, "save_dir": "/Users/sreeramranga/Documents/GitHub/cs185-hw-sp26/hw2/exp/CartPole-v0_smoke_fix_sd1_20260225_144118", "scalar_log_freq": 1, "seed": 1, "use_baseline": false, "use_reward_to_go": false, "video_log_freq": -1, "which_gpu": 0}
----------------------------------------------------------------------------------------
Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
19.954546,10.297737,49.0,9.0,19.954545454545453,28.75,13.083864,50.0,17.0,28.75,23.91241455078125,115,0.12129998207092285,28.75,0
========================================================================================

========================================================================================
Experiment: CartPole-v0_cartpole_sd1_20260225_144211
Logged at: 2026-02-25T14:42:24
Config: {"baseline_gradient_steps": 5, "baseline_learning_rate": 0.005, "batch_size": 1000, "discount": 1.0, "env_name": "CartPole-v0", "ep_len": null, "eval_batch_size": 400, "exp_name": "cartpole", "gae_lambda": null, "layer_size": 64, "learning_rate": 0.005, "n_iter": 100, "n_layers": 2, "no_gpu": false, "normalize_advantages": false, "save_dir": "/Users/sreeramranga/Documents/GitHub/cs185-hw-sp26/hw2/exp/CartPole-v0_cartpole_sd1_20260225_144211", "scalar_log_freq": 1, "seed": 1, "use_baseline": false, "use_reward_to_go": false, "video_log_freq": -1, "which_gpu": 0}
----------------------------------------------------------------------------------------
Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
27.0,17.11919,69.0,10.0,27.0,20.352942,9.956421,60.0,10.0,20.352941176470587,17.414627075195312,1038,0.17227983474731445,20.352942,0
31.785715,14.28875,59.0,12.0,31.785714285714285,21.375,9.647161,59.0,10.0,21.375,17.475631713867188,2064,0.7974400520324707,,1
25.1875,15.15016,60.0,9.0,25.1875,21.208334,9.686671,51.0,10.0,21.208333333333332,17.204994201660156,3082,0.901494026184082,,2
32.076923,12.809021,57.0,17.0,32.07692307692308,28.472221,14.50572,80.0,9.0,28.47222222222222,23.79851722717285,4107,1.003424882888794,,3
45.2,18.925116,90.0,18.0,45.2,39.0,21.574558,97.0,14.0,39.0,32.95933532714844,5121,1.1079330444335938,,4
44.2,17.808987,71.0,19.0,44.2,40.26923,14.627576,72.0,14.0,40.26923076923077,28.711952209472656,6168,1.2195868492126465,,5
52.0,33.196384,131.0,18.0,52.0,52.35,27.067093,131.0,24.0,52.35,41.364532470703125,7215,1.3259668350219727,,6
53.625,24.356403,115.0,30.0,53.625,54.0,26.15943,122.0,19.0,54.0,40.6573371887207,8241,1.428877830505371,,7
67.5,27.705294,122.0,34.0,67.5,59.64706,20.696522,104.0,16.0,59.64705882352941,39.066043853759766,9255,1.6042509078979492,,8
56.625,20.566584,95.0,28.0,56.625,56.22222,19.943129,87.0,24.0,56.22222222222222,36.9189338684082,10267,1.708038091659546,,9
50.5,17.68474,82.0,30.0,50.5,57.055557,24.370913,130.0,23.0,57.05555555555556,38.38042068481445,11294,1.8088548183441162,,10
54.25,22.686726,106.0,32.0,54.25,60.235294,28.84957,154.0,27.0,60.23529411764706,39.99236297607422,12318,1.9118599891662598,,11
92.0,45.738388,169.0,48.0,92.0,55.555557,16.128727,92.0,35.0,55.55555555555556,32.725643157958984,13318,2.0142621994018555,,12
76.0,40.69398,170.0,43.0,76.0,74.42857,47.09825,200.0,28.0,74.42857142857143,53.351619720458984,14360,2.1251988410949707,,13
67.166664,14.099842,92.0,48.0,67.16666666666667,58.944443,19.097622,100.0,33.0,58.94444444444444,33.46159362792969,15421,2.2276759147644043,,14
108.25,38.635315,169.0,68.0,108.25,73.35714,19.140858,118.0,42.0,73.35714285714286,40.030670166015625,16448,2.329456090927124,,15
87.8,13.962808,103.0,63.0,87.8,96.27273,37.380333,160.0,39.0,96.27272727272727,53.854644775390625,17507,2.4343209266662598,,16
98.4,32.5306,141.0,49.0,98.4,98.72727,29.307434,153.0,67.0,98.72727272727273,48.92047119140625,18593,2.545125961303711,,17
95.6,28.323841,137.0,64.0,95.6,109.9,38.836708,191.0,58.0,109.9,57.61153030395508,19692,2.655418872833252,,18
